codigo,nome,dt_inicio,dt_fim,descricao,versao
9242,"Alimentação em ticket ou cartão, não vinculada ao PAT - Desconto",2014-01-01,,"Desconto referente à participação do trabalhador no custo de alimentação concedida sob a forma de ticket ou cartão, por empresa não vinculada ao PAT",17
9243,"Cesta básica ou refeição, vinculada ao PAT - Desconto",2014-01-01,,"Desconto referente à participação do trabalhador no custo de alimentação concedida sob a forma de cesta básica ou refeição, por empresa vinculada ao PAT",17
9244,"Cesta básica ou refeição, não vinculada ao PAT - Desconto",2014-01-01,,"Desconto referente à participação do trabalhador no custo de alimentação concedida sob a forma de cesta básica ou refeição, por empresa não vinculada ao PAT",17
9250,Seguro de vida - Desconto,2014-01-01,,Desconto referente a participação do trabalhador no custo ou em virtude de concessão do benefício em valor maior,17
9254,Empréstimos consignados - Desconto,2014-01-01,,"Desconto de trabalhadores a título de empréstimos consignados, para repasse a instituição financeira consignatária",17
9255,Empréstimos do empregador - Desconto,2014-01-01,,Desconto de trabalhadores a título de empréstimos efetuados pelo empregador ao trabalhador,17
9258,Convênios,2014-01-01,,"Desconto relativos a convênios diversos com empresas para fornecimento de produtos ou serviços ao empregado, sem pagamento imediato, mas com posterior desconto em folha de pagamento como farmácias, supermercados, etc.",17
9260,FIES - Desconto,2018-05-01,,"Desconto referente à amortização de financiamento do Fundo de Financiamento Estudantil (FIES), para repasse à instituição consignatária",17
9270,Danos e prejuízos causados pelo trabalhador,2014-01-01,,Desconto do trabalhador para reparar danos e prejuízos por ele causados,17
9290,Desconto de pagamento indevido em meses anteriores,2014-01-01,2021-07-31,"Valor correspondente a desconto de verbas pagas indevidamente ao trabalhador em meses anteriores e que estão sendo descontadas no mês de referência, exceto valores relativos a assistência médica, alimentação, previdência complementar e seguro de vida",17
9291,Abate-teto,2014-01-01,,Valor deduzido da remuneração total do segurado que supere o teto remuneratório constitucional,17
9292,Ressarcimento ao erário,2014-01-01,,Valor deduzido da remuneração para pagamento de ressarcimento ou de penalidade,17
9293,Honorários advocatícios,2014-01-01,,Valor descontado do trabalhador por determinação judicial a ser pago ao advogado/escritório de advocacia,17
9294,Redutor EC 41/03,2014-01-01,,Valor descontado da remuneração do instituidor da pensão (Emenda Constitucional 41/2003),17
